 --- Query # 0 - "QU What are the effects of calcium on the physical properties of mucus   from CF patients? "
 ------ Doc # 1201 = 0.054597
 ------ Doc # 110 = 0.054524
 ------ Doc # 526 = 0.054508
 ------ Doc # 501 = 0.054413
 ------ Doc # 478 = 0.054267
 ------ Doc # 1145 = 0.054163
 ------ Doc # 502 = 0.053983
 ------ Doc # 1202 = 0.053814
 ------ Doc # 277 = 0.053676
 ------ Doc # 846 = 0.053573
 ------ Doc # 1026 = 0.053527
 ------ Doc # 1107 = 0.053507
 ------ Doc # 1185 = 0.053463
 ------ Doc # 658 = 0.053230
 ------ Doc # 543 = 0.052903
 ------ Doc # 53 = 0.052781
 ------ Doc # 56 = 0.052357
 ------ Doc # 990 = 0.052322
 ------ Doc # 1064 = 0.051820
 ------ Doc # 303 = 0.051787
 ------ Doc # 1199 = 0.051600
 ------ Doc # 805 = 0.051533
 ------ Doc # 122 = 0.051476
 ------ Doc # 498 = 0.051427
 ------ Doc # 1161 = 0.051157
 ------ Doc # 54 = 0.050984
 ------ Doc # 11 = 0.050926
 ------ Doc # 538 = 0.050730
 ------ Doc # 570 = 0.050669
 ------ Doc # 377 = 0.050539
 ------ Doc # 970 = 0.050505
 ------ Doc # 736 = 0.050389
 ------ Doc # 861 = 0.050376
 ------ Doc # 592 = 0.050336
 ------ Doc # 40 = 0.050290
 ------ Doc # 738 = 0.050124
 ------ Doc # 1168 = 0.049964
 ------ Doc # 147 = 0.049877
 ------ Doc # 753 = 0.049817
 ------ Doc # 911 = 0.049653
 ------ Doc # 67 = 0.049346
 ------ Doc # 1152 = 0.049282
 ------ Doc # 1055 = 0.049126
 ------ Doc # 459 = 0.048940
 ------ Doc # 942 = 0.048824
 ------ Doc # 47 = 0.048800
 ------ Doc # 867 = 0.048753
 ------ Doc # 847 = 0.048738
 ------ Doc # 219 = 0.048551
 ------ Doc # 290 = 0.048471
 ------ Doc # 999 = 0.048426
 ------ Doc # 690 = 0.048287
 ------ Doc # 789 = 0.048054
 ------ Doc # 213 = 0.048031
 ------ Doc # 256 = 0.047967
 ------ Doc # 1215 = 0.047931
 ------ Doc # 1102 = 0.047756
 ------ Doc # 967 = 0.047742
 ------ Doc # 734 = 0.046719
 ------ Doc # 1151 = 0.046607
 ------ Doc # 300 = 0.046416
 ------ Doc # 484 = 0.046258
 ------ Doc # 693 = 0.046178
 ------ Doc # 758 = 0.045858
 ------ Doc # 400 = 0.045540
 ------ Doc # 101 = 0.045516
 ------ Doc # 982 = 0.045471
 ------ Doc # 463 = 0.045266
 ------ Doc # 405 = 0.045156
 ------ Doc # 246 = 0.045074
 ------ Doc # 465 = 0.044887
 ------ Doc # 1044 = 0.044717
 ------ Doc # 324 = 0.044649
 ------ Doc # 1034 = 0.044469
 ------ Doc # 453 = 0.044284
 ------ Doc # 41 = 0.044175
 ------ Doc # 765 = 0.043966
 ------ Doc # 776 = 0.043842
 ------ Doc # 239 = 0.043780
 ------ Doc # 1031 = 0.043736
 ------ Doc # 159 = 0.043567
 ------ Doc # 606 = 0.043284
 ------ Doc # 1125 = 0.042965
 ------ Doc # 876 = 0.042729
 ------ Doc # 836 = 0.042696
 ------ Doc # 605 = 0.042634
 ------ Doc # 1059 = 0.042599
 ------ Doc # 296 = 0.042419
 ------ Doc # 539 = 0.042415
 ------ Doc # 651 = 0.042206
 ------ Doc # 374 = 0.042139
 ------ Doc # 998 = 0.041846
 ------ Doc # 195 = 0.041681
 ------ Doc # 334 = 0.041674
 ------ Doc # 444 = 0.041613
 ------ Doc # 61 = 0.041362
 ------ Doc # 169 = 0.041275
 ------ Doc # 1006 = 0.040462
 ------ Doc # 179 = 0.040440
 ------ Doc # 532 = 0.040393
 ------ Doc # 201 = 0.040159
 ------ Doc # 848 = 0.040060
 ------ Doc # 281 = 0.040017
 ------ Doc # 114 = 0.040006
 ------ Doc # 1223 = 0.039962
 ------ Doc # 840 = 0.039762
 ------ Doc # 962 = 0.039759
 ------ Doc # 813 = 0.039696
 ------ Doc # 430 = 0.039645
 ------ Doc # 1138 = 0.039445
 ------ Doc # 892 = 0.039414
 ------ Doc # 503 = 0.039225
 ------ Doc # 1036 = 0.039120
 ------ Doc # 705 = 0.038993
 ------ Doc # 921 = 0.038982
 ------ Doc # 676 = 0.038871
 ------ Doc # 675 = 0.038864
 ------ Doc # 909 = 0.038864
 ------ Doc # 1016 = 0.038864
 ------ Doc # 467 = 0.038771
 ------ Doc # 370 = 0.038734
 ------ Doc # 208 = 0.038717
 ------ Doc # 823 = 0.038701
 ------ Doc # 559 = 0.038654
 ------ Doc # 582 = 0.038607
 ------ Doc # 665 = 0.038598
 ------ Doc # 522 = 0.038370
 ------ Doc # 333 = 0.038256
 ------ Doc # 973 = 0.038186
 ------ Doc # 546 = 0.038165
 ------ Doc # 1207 = 0.038107
 ------ Doc # 1041 = 0.038015
 ------ Doc # 316 = 0.037707
 ------ Doc # 922 = 0.037619
 ------ Doc # 971 = 0.037531
 ------ Doc # 878 = 0.037064
 ------ Doc # 596 = 0.036631
 ------ Doc # 980 = 0.036560
 ------ Doc # 1159 = 0.036345
 ------ Doc # 133 = 0.036270
 ------ Doc # 446 = 0.035986
 ------ Doc # 617 = 0.035944
 ------ Doc # 435 = 0.035938
 ------ Doc # 59 = 0.035933
 ------ Doc # 918 = 0.035613
 ------ Doc # 804 = 0.035489
 ------ Doc # 520 = 0.035461
 ------ Doc # 1238 = 0.035283
 ------ Doc # 542 = 0.035188
 ------ Doc # 458 = 0.035136
 ------ Doc # 1103 = 0.035120
 ------ Doc # 652 = 0.034942
 ------ Doc # 1193 = 0.034916
 ------ Doc # 3 = 0.034862
 ------ Doc # 1209 = 0.034762
 ------ Doc # 263 = 0.034700
 ------ Doc # 1171 = 0.034662
 ------ Doc # 1227 = 0.034418
 ------ Doc # 284 = 0.034350
 ------ Doc # 289 = 0.034235
 ------ Doc # 313 = 0.034101
 ------ Doc # 1071 = 0.033837
 ------ Doc # 118 = 0.033830
 ------ Doc # 567 = 0.033821
 ------ Doc # 74 = 0.033716
 ------ Doc # 1206 = 0.033695
 ------ Doc # 63 = 0.033366
 ------ Doc # 788 = 0.033256
 ------ Doc # 482 = 0.033095
 ------ Doc # 771 = 0.033048
 ------ Doc # 925 = 0.032973
 ------ Doc # 633 = 0.032965
 ------ Doc # 248 = 0.032893
 ------ Doc # 1076 = 0.032797
 ------ Doc # 566 = 0.032749
 ------ Doc # 332 = 0.032703
 ------ Doc # 581 = 0.032628
 ------ Doc # 710 = 0.032345
 ------ Doc # 923 = 0.032280
 ------ Doc # 373 = 0.032052
 ------ Doc # 411 = 0.031584
 ------ Doc # 436 = 0.031581
 ------ Doc # 70 = 0.031546
 ------ Doc # 1081 = 0.031498
 ------ Doc # 536 = 0.031497
 ------ Doc # 218 = 0.031384
 ------ Doc # 1233 = 0.031369
 ------ Doc # 108 = 0.031312
 ------ Doc # 589 = 0.031252
 ------ Doc # 378 = 0.031205
 ------ Doc # 243 = 0.031129
 ------ Doc # 270 = 0.031082
 ------ Doc # 231 = 0.031063
 ------ Doc # 304 = 0.030980
 ------ Doc # 295 = 0.030941
 ------ Doc # 562 = 0.030828
 ------ Doc # 495 = 0.030773
 ------ Doc # 628 = 0.030681
 ------ Doc # 180 = 0.030663
 ------ Doc # 211 = 0.030610
 ------ Doc # 121 = 0.030572
 ------ Doc # 1029 = 0.030545
 ------ Doc # 1205 = 0.030186
 ------ Doc # 1078 = 0.030082
 ------ Doc # 130 = 0.030061
 ------ Doc # 1112 = 0.029937
 ------ Doc # 717 = 0.029818
 ------ Doc # 488 = 0.029570
 ------ Doc # 322 = 0.029566
 ------ Doc # 1003 = 0.029470
 ------ Doc # 915 = 0.029436
 ------ Doc # 977 = 0.029370
 ------ Doc # 638 = 0.029330
 ------ Doc # 986 = 0.028924
 ------ Doc # 140 = 0.028756
 ------ Doc # 440 = 0.028742
 ------ Doc # 1211 = 0.028609
 ------ Doc # 541 = 0.028528
 ------ Doc # 471 = 0.028452
 ------ Doc # 874 = 0.028418
 ------ Doc # 647 = 0.028195
 ------ Doc # 1121 = 0.028166
 ------ Doc # 963 = 0.028139
 ------ Doc # 930 = 0.028042
 ------ Doc # 455 = 0.027932
 ------ Doc # 1200 = 0.027893
 ------ Doc # 175 = 0.027727
 ------ Doc # 33 = 0.027691
 ------ Doc # 221 = 0.027542
 ------ Doc # 1142 = 0.027483
 ------ Doc # 390 = 0.027461
 ------ Doc # 141 = 0.027450
 ------ Doc # 928 = 0.027429
 ------ Doc # 88 = 0.027350
 ------ Doc # 1146 = 0.027331
 ------ Doc # 206 = 0.027175
 ------ Doc # 785 = 0.027092
 ------ Doc # 361 = 0.026947
 ------ Doc # 142 = 0.026889
 ------ Doc # 236 = 0.026807
 ------ Doc # 469 = 0.026725
 ------ Doc # 278 = 0.026715
 ------ Doc # 968 = 0.026700
 ------ Doc # 1135 = 0.026686
 ------ Doc # 190 = 0.026651
 ------ Doc # 535 = 0.026582
 ------ Doc # 279 = 0.026554
 ------ Doc # 427 = 0.026526
 ------ Doc # 634 = 0.026489
 ------ Doc # 755 = 0.026420
 ------ Doc # 1158 = 0.026415
 ------ Doc # 1068 = 0.026388
 ------ Doc # 898 = 0.026375
 ------ Doc # 554 = 0.026346
 ------ Doc # 485 = 0.026134
 ------ Doc # 419 = 0.026091
 ------ Doc # 901 = 0.026018
 ------ Doc # 573 = 0.026011
 ------ Doc # 7 = 0.025937
 ------ Doc # 610 = 0.025909
 ------ Doc # 904 = 0.025871
 ------ Doc # 124 = 0.025848
 ------ Doc # 31 = 0.025843
 ------ Doc # 489 = 0.025838
 ------ Doc # 1092 = 0.025826
 ------ Doc # 852 = 0.025772
 ------ Doc # 1164 = 0.025767
 ------ Doc # 1173 = 0.025701
 ------ Doc # 1179 = 0.025696
 ------ Doc # 4 = 0.025651
 ------ Doc # 739 = 0.025617
 ------ Doc # 869 = 0.025561
 ------ Doc # 1163 = 0.025508
 ------ Doc # 418 = 0.025504
 ------ Doc # 997 = 0.025298
 ------ Doc # 13 = 0.025264
 ------ Doc # 731 = 0.025209
 ------ Doc # 1024 = 0.025192
 ------ Doc # 881 = 0.025152
 ------ Doc # 425 = 0.025043
 ------ Doc # 783 = 0.024873
 ------ Doc # 404 = 0.024817
 ------ Doc # 187 = 0.024800
 ------ Doc # 637 = 0.024776
 ------ Doc # 697 = 0.024751
 ------ Doc # 173 = 0.024751
 ------ Doc # 174 = 0.024731
 ------ Doc # 1040 = 0.024704
 ------ Doc # 1002 = 0.024631
 ------ Doc # 572 = 0.024629
 ------ Doc # 747 = 0.024629
 ------ Doc # 976 = 0.024602
 ------ Doc # 320 = 0.024591
 ------ Doc # 694 = 0.024580
 ------ Doc # 858 = 0.024516
 ------ Doc # 1222 = 0.024514
 ------ Doc # 204 = 0.024511
 ------ Doc # 987 = 0.024409
 ------ Doc # 242 = 0.024380
 ------ Doc # 102 = 0.024325
 ------ Doc # 15 = 0.024320
 ------ Doc # 350 = 0.024313
 ------ Doc # 1167 = 0.024272
 ------ Doc # 129 = 0.024214
 ------ Doc # 428 = 0.024207
 ------ Doc # 401 = 0.024180
 ------ Doc # 394 = 0.024162
 ------ Doc # 585 = 0.024080
 ------ Doc # 126 = 0.024054
 ------ Doc # 669 = 0.024046
 ------ Doc # 965 = 0.024027
 ------ Doc # 466 = 0.024003
 ------ Doc # 424 = 0.023908
 ------ Doc # 772 = 0.023878
 ------ Doc # 835 = 0.023837
 ------ Doc # 882 = 0.023819
 ------ Doc # 223 = 0.023749
 ------ Doc # 1197 = 0.023716
 ------ Doc # 1224 = 0.023711
 ------ Doc # 790 = 0.023673
 ------ Doc # 860 = 0.023623
 ------ Doc # 951 = 0.023619
 ------ Doc # 586 = 0.023529
 ------ Doc # 245 = 0.023473
 ------ Doc # 707 = 0.023433
 ------ Doc # 944 = 0.023369
 ------ Doc # 260 = 0.023354
 ------ Doc # 508 = 0.023353
 ------ Doc # 1096 = 0.023263
 ------ Doc # 183 = 0.023261
 ------ Doc # 584 = 0.023255
 ------ Doc # 150 = 0.023238
 ------ Doc # 312 = 0.023120
 ------ Doc # 1213 = 0.023088
 ------ Doc # 399 = 0.022988
 ------ Doc # 92 = 0.022971
 ------ Doc # 17 = 0.022930
 ------ Doc # 336 = 0.022759
 ------ Doc # 380 = 0.022701
 ------ Doc # 135 = 0.022668
 ------ Doc # 112 = 0.022657
 ------ Doc # 680 = 0.022611
 ------ Doc # 235 = 0.022577
 ------ Doc # 1162 = 0.022525
 ------ Doc # 822 = 0.022462
 ------ Doc # 1014 = 0.022443
 ------ Doc # 269 = 0.022387
 ------ Doc # 210 = 0.022372
 ------ Doc # 148 = 0.022350
 ------ Doc # 766 = 0.022349
 ------ Doc # 864 = 0.022301
 ------ Doc # 335 = 0.022257
 ------ Doc # 1136 = 0.022216
 ------ Doc # 1239 = 0.022201
 ------ Doc # 131 = 0.022174
 ------ Doc # 397 = 0.022131
 ------ Doc # 929 = 0.022087
 ------ Doc # 198 = 0.022077
 ------ Doc # 565 = 0.022058
 ------ Doc # 391 = 0.022031
 ------ Doc # 137 = 0.022025
 ------ Doc # 1050 = 0.022017
 ------ Doc # 156 = 0.022001
 ------ Doc # 906 = 0.021955
 ------ Doc # 1066 = 0.021925
 ------ Doc # 988 = 0.021827
 ------ Doc # 995 = 0.021806
 ------ Doc # 230 = 0.021767
 ------ Doc # 354 = 0.021766
 ------ Doc # 62 = 0.021753
 ------ Doc # 1175 = 0.021746
 ------ Doc # 614 = 0.021720
 ------ Doc # 438 = 0.021710
 ------ Doc # 632 = 0.021612
 ------ Doc # 956 = 0.021586
 ------ Doc # 563 = 0.021571
 ------ Doc # 367 = 0.021566
 ------ Doc # 815 = 0.021556
 ------ Doc # 905 = 0.021545
 ------ Doc # 623 = 0.021453
 ------ Doc # 873 = 0.021428
 ------ Doc # 534 = 0.021426
 ------ Doc # 1106 = 0.021407
 ------ Doc # 1056 = 0.021391
 ------ Doc # 32 = 0.021358
 ------ Doc # 662 = 0.021355
 ------ Doc # 65 = 0.021315
 ------ Doc # 612 = 0.021313
 ------ Doc # 22 = 0.021289
 ------ Doc # 326 = 0.021256
 ------ Doc # 1137 = 0.021237
 ------ Doc # 494 = 0.021219
 ------ Doc # 64 = 0.021208
 ------ Doc # 691 = 0.021188
 ------ Doc # 283 = 0.021160
 ------ Doc # 12 = 0.021158
 ------ Doc # 38 = 0.021104
 ------ Doc # 561 = 0.021092
 ------ Doc # 1067 = 0.021068
 ------ Doc # 784 = 0.021043
 ------ Doc # 143 = 0.021042
 ------ Doc # 237 = 0.021037
 ------ Doc # 919 = 0.021031
 ------ Doc # 1019 = 0.021009
 ------ Doc # 18 = 0.020945
 ------ Doc # 337 = 0.020942
 ------ Doc # 39 = 0.020925
 ------ Doc # 347 = 0.020916
 ------ Doc # 671 = 0.020913
 ------ Doc # 1128 = 0.020901
 ------ Doc # 51 = 0.020875
 ------ Doc # 351 = 0.020868
 ------ Doc # 576 = 0.020857
 ------ Doc # 49 = 0.020849
 ------ Doc # 366 = 0.020820
 ------ Doc # 1232 = 0.020816
 ------ Doc # 597 = 0.020794
 ------ Doc # 479 = 0.020773
 ------ Doc # 831 = 0.020725
 ------ Doc # 1237 = 0.020589
 ------ Doc # 961 = 0.020576
 ------ Doc # 226 = 0.020574
 ------ Doc # 825 = 0.020538
 ------ Doc # 144 = 0.020469
 ------ Doc # 730 = 0.020468
 ------ Doc # 1170 = 0.020462
 ------ Doc # 1178 = 0.020440
 ------ Doc # 702 = 0.020426
 ------ Doc # 625 = 0.020315
 ------ Doc # 241 = 0.020282
 ------ Doc # 525 = 0.020274
 ------ Doc # 1005 = 0.020239
 ------ Doc # 1177 = 0.020225
 ------ Doc # 1099 = 0.020165
 ------ Doc # 830 = 0.020162
 ------ Doc # 713 = 0.020103
 ------ Doc # 704 = 0.020100
 ------ Doc # 383 = 0.020073
 ------ Doc # 1210 = 0.020062
 ------ Doc # 798 = 0.020055
 ------ Doc # 749 = 0.020027
 ------ Doc # 530 = 0.020005
 ------ Doc # 83 = 0.019987
 ------ Doc # 969 = 0.019954
 ------ Doc # 631 = 0.019911
 ------ Doc # 358 = 0.019901
 ------ Doc # 602 = 0.019684
 ------ Doc # 890 = 0.019680
 ------ Doc # 794 = 0.019589
 ------ Doc # 185 = 0.019570
 ------ Doc # 6 = 0.019516
 ------ Doc # 1133 = 0.019478
 ------ Doc # 851 = 0.019421
 ------ Doc # 402 = 0.019411
 ------ Doc # 136 = 0.019395
 ------ Doc # 487 = 0.019365
 ------ Doc # 989 = 0.019359
 ------ Doc # 1093 = 0.019335
 ------ Doc # 1073 = 0.019328
 ------ Doc # 764 = 0.019308
 ------ Doc # 1203 = 0.019209
 ------ Doc # 258 = 0.019191
 ------ Doc # 1117 = 0.019164
 ------ Doc # 46 = 0.019060
 ------ Doc # 162 = 0.019002
 ------ Doc # 646 = 0.018991
 ------ Doc # 601 = 0.018968
 ------ Doc # 328 = 0.018961
 ------ Doc # 307 = 0.018930
 ------ Doc # 778 = 0.018897
 ------ Doc # 817 = 0.018889
 ------ Doc # 993 = 0.018889
 ------ Doc # 692 = 0.018866
 ------ Doc # 964 = 0.018862
 ------ Doc # 1101 = 0.018854
 ------ Doc # 818 = 0.018845
 ------ Doc # 238 = 0.018845
 ------ Doc # 1100 = 0.018840
 ------ Doc # 225 = 0.018818
 ------ Doc # 807 = 0.018671
 ------ Doc # 480 = 0.018644
 ------ Doc # 23 = 0.018639
 ------ Doc # 1011 = 0.018637
 ------ Doc # 725 = 0.018620
 ------ Doc # 936 = 0.018619
 ------ Doc # 1181 = 0.018618
 ------ Doc # 786 = 0.018601
 ------ Doc # 660 = 0.018580
 ------ Doc # 722 = 0.018568
 ------ Doc # 912 = 0.018566
 ------ Doc # 1013 = 0.018564
 ------ Doc # 1140 = 0.018550
 ------ Doc # 176 = 0.018529
 ------ Doc # 588 = 0.018521
 ------ Doc # 447 = 0.018511
 ------ Doc # 188 = 0.018492
 ------ Doc # 718 = 0.018488
 ------ Doc # 684 = 0.018468
 ------ Doc # 1204 = 0.018431
 ------ Doc # 407 = 0.018425
 ------ Doc # 624 = 0.018419
 ------ Doc # 308 = 0.018418
 ------ Doc # 959 = 0.018408
 ------ Doc # 306 = 0.018407
 ------ Doc # 1192 = 0.018386
 ------ Doc # 773 = 0.018358
 ------ Doc # 870 = 0.018350
 ------ Doc # 222 = 0.018316
 ------ Doc # 215 = 0.018293
 ------ Doc # 272 = 0.018276
 ------ Doc # 903 = 0.018260
 ------ Doc # 205 = 0.018246
 ------ Doc # 1114 = 0.018234
 ------ Doc # 77 = 0.018220
 ------ Doc # 1196 = 0.018200
 ------ Doc # 1155 = 0.018199
 ------ Doc # 841 = 0.018170
 ------ Doc # 575 = 0.018148
 ------ Doc # 812 = 0.018144
 ------ Doc # 1191 = 0.018127
 ------ Doc # 506 = 0.018126
 ------ Doc # 409 = 0.018090
 ------ Doc # 1122 = 0.018054
 ------ Doc # 415 = 0.018026
 ------ Doc # 845 = 0.018017
 ------ Doc # 833 = 0.018007
 ------ Doc # 161 = 0.017973
 ------ Doc # 227 = 0.017956
 ------ Doc # 687 = 0.017917
 ------ Doc # 342 = 0.017894
 ------ Doc # 1228 = 0.017882
 ------ Doc # 119 = 0.017840
 ------ Doc # 524 = 0.017792
 ------ Doc # 1049 = 0.017783
 ------ Doc # 947 = 0.017777
 ------ Doc # 414 = 0.017770
 ------ Doc # 294 = 0.017761
 ------ Doc # 393 = 0.017753
 ------ Doc # 809 = 0.017738
 ------ Doc # 513 = 0.017676
 ------ Doc # 796 = 0.017592
 ------ Doc # 622 = 0.017572
 ------ Doc # 661 = 0.017546
 ------ Doc # 895 = 0.017534
 ------ Doc # 811 = 0.017515
 ------ Doc # 571 = 0.017496
 ------ Doc # 1221 = 0.017489
 ------ Doc # 594 = 0.017481
 ------ Doc # 886 = 0.017351
 ------ Doc # 507 = 0.017317
 ------ Doc # 654 = 0.017313
 ------ Doc # 379 = 0.017214
 ------ Doc # 355 = 0.017205
 ------ Doc # 590 = 0.017099
 ------ Doc # 748 = 0.017069
 ------ Doc # 775 = 0.017054
 ------ Doc # 149 = 0.017038
 ------ Doc # 828 = 0.017032
 ------ Doc # 626 = 0.017019
 ------ Doc # 387 = 0.017007
 ------ Doc # 618 = 0.016992
 ------ Doc # 1104 = 0.016958
 ------ Doc # 314 = 0.016957
 ------ Doc # 1118 = 0.016919
 ------ Doc # 80 = 0.016888
 ------ Doc # 1183 = 0.016860
 ------ Doc # 574 = 0.016856
 ------ Doc # 177 = 0.016820
 ------ Doc # 1134 = 0.016809
 ------ Doc # 68 = 0.016802
 ------ Doc # 81 = 0.016791
 ------ Doc # 442 = 0.016786
 ------ Doc # 406 = 0.016759
 ------ Doc # 1143 = 0.016745
 ------ Doc # 902 = 0.016703
 ------ Doc # 1115 = 0.016692
 ------ Doc # 297 = 0.016661
 ------ Doc # 412 = 0.016659
 ------ Doc # 972 = 0.016650
 ------ Doc # 608 = 0.016642
 ------ Doc # 1051 = 0.016639
 ------ Doc # 985 = 0.016594
 ------ Doc # 1 = 0.016589
 ------ Doc # 1165 = 0.016575
 ------ Doc # 212 = 0.016573
 ------ Doc # 1083 = 0.016518
 ------ Doc # 1172 = 0.016503
 ------ Doc # 591 = 0.016485
 ------ Doc # 819 = 0.016479
 ------ Doc # 375 = 0.016417
 ------ Doc # 1182 = 0.016417
 ------ Doc # 949 = 0.016354
 ------ Doc # 721 = 0.016342
 ------ Doc # 1230 = 0.016292
 ------ Doc # 262 = 0.016271
 ------ Doc # 683 = 0.016267
 ------ Doc # 301 = 0.016238
 ------ Doc # 557 = 0.016221
 ------ Doc # 291 = 0.016211
 ------ Doc # 103 = 0.016196
 ------ Doc # 450 = 0.016154
 ------ Doc # 154 = 0.016154
 ------ Doc # 981 = 0.016093
 ------ Doc # 1053 = 0.016085
 ------ Doc # 315 = 0.016061
 ------ Doc # 483 = 0.016047
 ------ Doc # 1216 = 0.016034
 ------ Doc # 153 = 0.016027
 ------ Doc # 292 = 0.015986
 ------ Doc # 1054 = 0.015868
 ------ Doc # 616 = 0.015834
 ------ Doc # 924 = 0.015827
 ------ Doc # 50 = 0.015826
 ------ Doc # 1027 = 0.015821
 ------ Doc # 740 = 0.015793
 ------ Doc # 528 = 0.015785
 ------ Doc # 555 = 0.015775
 ------ Doc # 888 = 0.015774
 ------ Doc # 1082 = 0.015761
 ------ Doc # 689 = 0.015756
 ------ Doc # 1111 = 0.015737
 ------ Doc # 843 = 0.015734
 ------ Doc # 58 = 0.015615
 ------ Doc # 60 = 0.015590
 ------ Doc # 319 = 0.015582
 ------ Doc # 821 = 0.015554
 ------ Doc # 670 = 0.015552
 ------ Doc # 667 = 0.015541
 ------ Doc # 82 = 0.015520
 ------ Doc # 160 = 0.015502
 ------ Doc # 19 = 0.015471
 ------ Doc # 261 = 0.015468
 ------ Doc # 268 = 0.015464
 ------ Doc # 899 = 0.015453
 ------ Doc # 797 = 0.015442
 ------ Doc # 55 = 0.015426
 ------ Doc # 323 = 0.015412
 ------ Doc # 182 = 0.015366
 ------ Doc # 1072 = 0.015346
 ------ Doc # 408 = 0.015336
 ------ Doc # 992 = 0.015319
 ------ Doc # 271 = 0.015289
 ------ Doc # 232 = 0.015264
 ------ Doc # 768 = 0.015208
 ------ Doc # 89 = 0.015187
 ------ Doc # 165 = 0.015185
 ------ Doc # 760 = 0.015184
 ------ Doc # 1141 = 0.015154
 ------ Doc # 431 = 0.015146
 ------ Doc # 1079 = 0.015129
 ------ Doc # 1035 = 0.015096
 ------ Doc # 521 = 0.015077
 ------ Doc # 369 = 0.015069
 ------ Doc # 476 = 0.015068
 ------ Doc # 517 = 0.014984
 ------ Doc # 1062 = 0.014982
 ------ Doc # 578 = 0.014961
 ------ Doc # 750 = 0.014927
 ------ Doc # 857 = 0.014831
 ------ Doc # 1090 = 0.014821
 ------ Doc # 1075 = 0.014810
 ------ Doc # 550 = 0.014806
 ------ Doc # 952 = 0.014794
 ------ Doc # 799 = 0.014767
 ------ Doc # 862 = 0.014746
 ------ Doc # 1094 = 0.014734
 ------ Doc # 553 = 0.014726
 ------ Doc # 516 = 0.014709
 ------ Doc # 75 = 0.014707
 ------ Doc # 1157 = 0.014674
 ------ Doc # 247 = 0.014672
 ------ Doc # 1156 = 0.014654
 ------ Doc # 1220 = 0.014650
 ------ Doc # 946 = 0.014639
 ------ Doc # 583 = 0.014586
 ------ Doc # 170 = 0.014575
 ------ Doc # 1045 = 0.014564
