 --- Query # 1 - " What are the effects of calcium on the physical properties of mucus CF patients? "
 ------ Doc # 398 = 0.130814
 ------ Doc # 469 = 0.130722
 ------ Doc # 485 = 0.130085
 ------ Doc # 53 = 0.129595
 ------ Doc # 593 = 0.129246
 ------ Doc # 767 = 0.128511
 ------ Doc # 552 = 0.128210
 ------ Doc # 1201 = 0.127752
 ------ Doc # 147 = 0.127510
 ------ Doc # 527 = 0.127496
 ------ Doc # 461 = 0.127453
 ------ Doc # 511 = 0.126489
 ------ Doc # 55 = 0.126372
 ------ Doc # 734 = 0.126115
 ------ Doc # 564 = 0.125307
 ------ Doc # 926 = 0.124933
 ------ Doc # 1156 = 0.124805
 ------ Doc # 658 = 0.124500
 ------ Doc # 67 = 0.122932
 ------ Doc # 110 = 0.122594
 ------ Doc # 596 = 0.120833
 ------ Doc # 676 = 0.118960
 ------ Doc # 373 = 0.118860
 ------ Doc # 179 = 0.118758
 ------ Doc # 529 = 0.118678
 ------ Doc # 502 = 0.118392
 ------ Doc # 106 = 0.118193
 ------ Doc # 1083 = 0.117824
 ------ Doc # 860 = 0.117592
 ------ Doc # 465 = 0.116580
 ------ Doc # 165 = 0.116445
 ------ Doc # 3 = 0.116397
 ------ Doc # 962 = 0.116102
 ------ Doc # 277 = 0.115915
 ------ Doc # 1064 = 0.115726
 ------ Doc # 901 = 0.114873
 ------ Doc # 522 = 0.114722
 ------ Doc # 377 = 0.114647
 ------ Doc # 1145 = 0.113873
 ------ Doc # 999 = 0.113296
 ------ Doc # 1170 = 0.113158
 ------ Doc # 847 = 0.113144
 ------ Doc # 190 = 0.113013
 ------ Doc # 567 = 0.112848
 ------ Doc # 987 = 0.112670
 ------ Doc # 1171 = 0.112321
 ------ Doc # 320 = 0.111985
 ------ Doc # 297 = 0.111842
 ------ Doc # 531 = 0.111822
 ------ Doc # 693 = 0.111449
 ------ Doc # 325 = 0.111203
 ------ Doc # 141 = 0.110836
 ------ Doc # 279 = 0.109896
 ------ Doc # 811 = 0.109871
 ------ Doc # 278 = 0.109274
 ------ Doc # 671 = 0.109111
 ------ Doc # 288 = 0.108480
 ------ Doc # 1167 = 0.108432
 ------ Doc # 133 = 0.108357
 ------ Doc # 281 = 0.108001
 ------ Doc # 219 = 0.107947
 ------ Doc # 236 = 0.107882
 ------ Doc # 1148 = 0.107791
 ------ Doc # 118 = 0.106427
 ------ Doc # 510 = 0.106383
 ------ Doc # 400 = 0.106349
 ------ Doc # 813 = 0.106141
 ------ Doc # 1044 = 0.106080
 ------ Doc # 840 = 0.105953
 ------ Doc # 1180 = 0.105501
 ------ Doc # 1067 = 0.105423
 ------ Doc # 988 = 0.105344
 ------ Doc # 1173 = 0.104865
 ------ Doc # 314 = 0.104095
 ------ Doc # 260 = 0.103433
 ------ Doc # 359 = 0.103073
 ------ Doc # 968 = 0.102987
 ------ Doc # 786 = 0.102942
 ------ Doc # 19 = 0.102506
 ------ Doc # 215 = 0.102441
 ------ Doc # 108 = 0.102330
 ------ Doc # 943 = 0.102274
 ------ Doc # 1200 = 0.102080
 ------ Doc # 49 = 0.102058
 ------ Doc # 38 = 0.102035
 ------ Doc # 771 = 0.101731
 ------ Doc # 846 = 0.101675
 ------ Doc # 1026 = 0.101639
 ------ Doc # 964 = 0.101560
 ------ Doc # 370 = 0.101320
 ------ Doc # 453 = 0.100873
 ------ Doc # 532 = 0.100792
 ------ Doc # 903 = 0.100713
 ------ Doc # 28 = 0.100433
 ------ Doc # 665 = 0.100364
 ------ Doc # 114 = 0.100349
 ------ Doc # 1092 = 0.100106
 ------ Doc # 746 = 0.100016
 ------ Doc # 490 = 0.099851
 ------ Doc # 1206 = 0.099632
 ------ Doc # 915 = 0.099632
 ------ Doc # 430 = 0.099611
 ------ Doc # 307 = 0.099309
 ------ Doc # 266 = 0.099239
 ------ Doc # 175 = 0.099039
 ------ Doc # 451 = 0.098870
 ------ Doc # 701 = 0.098842
 ------ Doc # 1016 = 0.098795
 ------ Doc # 239 = 0.098086
 ------ Doc # 352 = 0.098028
 ------ Doc # 347 = 0.098011
 ------ Doc # 680 = 0.098000
 ------ Doc # 454 = 0.097699
 ------ Doc # 306 = 0.096632
 ------ Doc # 411 = 0.096528
 ------ Doc # 850 = 0.096482
 ------ Doc # 102 = 0.095711
 ------ Doc # 172 = 0.095706
 ------ Doc # 911 = 0.095678
 ------ Doc # 589 = 0.095607
 ------ Doc # 810 = 0.095551
 ------ Doc # 1031 = 0.095521
 ------ Doc # 914 = 0.095360
 ------ Doc # 1120 = 0.095348
 ------ Doc # 566 = 0.095333
 ------ Doc # 765 = 0.095124
 ------ Doc # 355 = 0.094937
 ------ Doc # 1012 = 0.094801
 ------ Doc # 300 = 0.094408
 ------ Doc # 726 = 0.094023
 ------ Doc # 990 = 0.093564
 ------ Doc # 290 = 0.093291
 ------ Doc # 989 = 0.093030
 ------ Doc # 535 = 0.092841
 ------ Doc # 689 = 0.092839
 ------ Doc # 1238 = 0.092698
 ------ Doc # 804 = 0.092636
 ------ Doc # 605 = 0.092583
 ------ Doc # 838 = 0.092539
 ------ Doc # 95 = 0.092505
 ------ Doc # 550 = 0.092455
 ------ Doc # 1205 = 0.092378
 ------ Doc # 100 = 0.092293
 ------ Doc # 973 = 0.092290
 ------ Doc # 367 = 0.092161
 ------ Doc # 713 = 0.092050
 ------ Doc # 263 = 0.092018
 ------ Doc # 822 = 0.091949
 ------ Doc # 287 = 0.091934
 ------ Doc # 14 = 0.091934
 ------ Doc # 169 = 0.091881
 ------ Doc # 1152 = 0.091608
 ------ Doc # 358 = 0.091369
 ------ Doc # 218 = 0.091231
 ------ Doc # 789 = 0.091182
 ------ Doc # 1174 = 0.091105
 ------ Doc # 982 = 0.090981
 ------ Doc # 496 = 0.090283
 ------ Doc # 586 = 0.090268
 ------ Doc # 258 = 0.090222
 ------ Doc # 748 = 0.090125
 ------ Doc # 922 = 0.090021
 ------ Doc # 515 = 0.089792
 ------ Doc # 1 = 0.089753
 ------ Doc # 736 = 0.089598
 ------ Doc # 523 = 0.089545
 ------ Doc # 342 = 0.089521
 ------ Doc # 930 = 0.089479
 ------ Doc # 213 = 0.089436
 ------ Doc # 397 = 0.089337
 ------ Doc # 936 = 0.089283
 ------ Doc # 482 = 0.089279
 ------ Doc # 542 = 0.089206
 ------ Doc # 4 = 0.089191
 ------ Doc # 7 = 0.089169
 ------ Doc # 646 = 0.089162
 ------ Doc # 431 = 0.089150
 ------ Doc # 647 = 0.089104
 ------ Doc # 121 = 0.088878
 ------ Doc # 1078 = 0.088771
 ------ Doc # 573 = 0.088520
 ------ Doc # 633 = 0.088441
 ------ Doc # 294 = 0.087966
 ------ Doc # 440 = 0.087873
 ------ Doc # 1197 = 0.087712
 ------ Doc # 144 = 0.087643
 ------ Doc # 909 = 0.087636
 ------ Doc # 858 = 0.087533
 ------ Doc # 96 = 0.087468
 ------ Doc # 104 = 0.087204
 ------ Doc # 959 = 0.087155
 ------ Doc # 419 = 0.087099
 ------ Doc # 802 = 0.086993
 ------ Doc # 648 = 0.086915
 ------ Doc # 503 = 0.086870
 ------ Doc # 488 = 0.086815
 ------ Doc # 211 = 0.086789
 ------ Doc # 538 = 0.086763
 ------ Doc # 798 = 0.086744
 ------ Doc # 1172 = 0.086373
 ------ Doc # 1191 = 0.086171
 ------ Doc # 185 = 0.085770
 ------ Doc # 1139 = 0.085676
 ------ Doc # 563 = 0.085596
 ------ Doc # 243 = 0.085305
 ------ Doc # 327 = 0.085283
 ------ Doc # 1168 = 0.085038
 ------ Doc # 812 = 0.084936
 ------ Doc # 690 = 0.084914
 ------ Doc # 250 = 0.084772
 ------ Doc # 534 = 0.084666
 ------ Doc # 478 = 0.084663
 ------ Doc # 1135 = 0.084658
 ------ Doc # 63 = 0.084636
 ------ Doc # 998 = 0.084623
 ------ Doc # 324 = 0.084455
 ------ Doc # 261 = 0.084377
 ------ Doc # 584 = 0.084336
 ------ Doc # 1223 = 0.084280
 ------ Doc # 823 = 0.084160
 ------ Doc # 758 = 0.083869
 ------ Doc # 1161 = 0.083820
 ------ Doc # 268 = 0.083770
 ------ Doc # 590 = 0.083753
 ------ Doc # 1211 = 0.083707
 ------ Doc # 1163 = 0.083698
 ------ Doc # 1209 = 0.083545
 ------ Doc # 1125 = 0.083146
 ------ Doc # 124 = 0.082987
 ------ Doc # 70 = 0.082855
 ------ Doc # 1186 = 0.082793
 ------ Doc # 785 = 0.082394
 ------ Doc # 694 = 0.082373
 ------ Doc # 852 = 0.082358
 ------ Doc # 101 = 0.082350
 ------ Doc # 1102 = 0.082347
 ------ Doc # 652 = 0.082200
 ------ Doc # 445 = 0.082165
 ------ Doc # 305 = 0.082006
 ------ Doc # 467 = 0.081964
 ------ Doc # 462 = 0.081657
 ------ Doc # 1146 = 0.081568
 ------ Doc # 256 = 0.081470
 ------ Doc # 39 = 0.081448
 ------ Doc # 74 = 0.081328
 ------ Doc # 1155 = 0.081211
 ------ Doc # 1005 = 0.080940
 ------ Doc # 429 = 0.080926
 ------ Doc # 1165 = 0.080801
 ------ Doc # 969 = 0.080792
 ------ Doc # 928 = 0.080741
 ------ Doc # 1215 = 0.080714
 ------ Doc # 130 = 0.080708
 ------ Doc # 778 = 0.080560
 ------ Doc # 1106 = 0.080252
 ------ Doc # 524 = 0.080207
 ------ Doc # 719 = 0.080056
 ------ Doc # 766 = 0.079756
 ------ Doc # 345 = 0.079461
 ------ Doc # 326 = 0.079437
 ------ Doc # 1034 = 0.079111
 ------ Doc # 1175 = 0.079031
 ------ Doc # 866 = 0.078929
 ------ Doc # 415 = 0.078850
 ------ Doc # 1202 = 0.078774
 ------ Doc # 864 = 0.078622
 ------ Doc # 80 = 0.078357
 ------ Doc # 1036 = 0.078349
 ------ Doc # 874 = 0.078318
 ------ Doc # 794 = 0.078215
 ------ Doc # 807 = 0.078127
 ------ Doc # 238 = 0.078057
 ------ Doc # 520 = 0.078006
 ------ Doc # 961 = 0.077911
 ------ Doc # 1233 = 0.077814
 ------ Doc # 1203 = 0.077797
 ------ Doc # 738 = 0.077772
 ------ Doc # 401 = 0.077769
 ------ Doc # 895 = 0.077734
 ------ Doc # 188 = 0.077713
 ------ Doc # 1105 = 0.077622
 ------ Doc # 208 = 0.077474
 ------ Doc # 140 = 0.077417
 ------ Doc # 791 = 0.077358
 ------ Doc # 1195 = 0.077278
 ------ Doc # 348 = 0.077258
 ------ Doc # 1029 = 0.077189
 ------ Doc # 845 = 0.077134
 ------ Doc # 891 = 0.077118
 ------ Doc # 721 = 0.077096
 ------ Doc # 805 = 0.077085
 ------ Doc # 788 = 0.077052
 ------ Doc # 111 = 0.077033
 ------ Doc # 536 = 0.077006
 ------ Doc # 85 = 0.076997
 ------ Doc # 931 = 0.076553
 ------ Doc # 508 = 0.076544
 ------ Doc # 685 = 0.076490
 ------ Doc # 405 = 0.076433
 ------ Doc # 18 = 0.076433
 ------ Doc # 483 = 0.076332
 ------ Doc # 892 = 0.076250
 ------ Doc # 122 = 0.076114
 ------ Doc # 1002 = 0.075927
 ------ Doc # 459 = 0.075631
 ------ Doc # 366 = 0.075542
 ------ Doc # 1193 = 0.075521
 ------ Doc # 971 = 0.075493
 ------ Doc # 942 = 0.075486
 ------ Doc # 1216 = 0.075476
 ------ Doc # 912 = 0.075386
 ------ Doc # 570 = 0.075364
 ------ Doc # 162 = 0.075359
 ------ Doc # 722 = 0.075312
 ------ Doc # 93 = 0.075308
 ------ Doc # 289 = 0.075273
 ------ Doc # 378 = 0.075238
 ------ Doc # 872 = 0.075218
 ------ Doc # 77 = 0.075174
 ------ Doc # 705 = 0.074831
 ------ Doc # 985 = 0.074356
 ------ Doc # 541 = 0.074292
 ------ Doc # 819 = 0.074143
 ------ Doc # 877 = 0.074138
 ------ Doc # 546 = 0.073962
 ------ Doc # 610 = 0.073871
 ------ Doc # 986 = 0.073748
 ------ Doc # 843 = 0.073676
 ------ Doc # 444 = 0.073671
 ------ Doc # 360 = 0.073648
 ------ Doc # 617 = 0.073623
 ------ Doc # 432 = 0.073615
 ------ Doc # 335 = 0.073606
 ------ Doc # 749 = 0.073590
 ------ Doc # 643 = 0.073207
 ------ Doc # 328 = 0.073093
 ------ Doc # 174 = 0.072959
 ------ Doc # 24 = 0.072931
 ------ Doc # 351 = 0.072911
 ------ Doc # 1066 = 0.072879
 ------ Doc # 1227 = 0.072837
 ------ Doc # 662 = 0.072712
 ------ Doc # 157 = 0.072566
 ------ Doc # 620 = 0.072510
 ------ Doc # 1136 = 0.072504
 ------ Doc # 1096 = 0.072475
 ------ Doc # 134 = 0.072303
 ------ Doc # 494 = 0.072214
 ------ Doc # 66 = 0.072167
 ------ Doc # 458 = 0.072095
 ------ Doc # 1147 = 0.071967
 ------ Doc # 471 = 0.071935
 ------ Doc # 675 = 0.071924
 ------ Doc # 830 = 0.071877
 ------ Doc # 954 = 0.071767
 ------ Doc # 500 = 0.071691
 ------ Doc # 1112 = 0.071521
 ------ Doc # 65 = 0.071442
 ------ Doc # 1055 = 0.071287
 ------ Doc # 588 = 0.071121
 ------ Doc # 1207 = 0.071061
 ------ Doc # 673 = 0.070883
 ------ Doc # 543 = 0.070801
 ------ Doc # 284 = 0.070779
 ------ Doc # 1028 = 0.070755
 ------ Doc # 51 = 0.070733
 ------ Doc # 884 = 0.070685
 ------ Doc # 956 = 0.070484
 ------ Doc # 60 = 0.070455
 ------ Doc # 195 = 0.070312
 ------ Doc # 949 = 0.070191
 ------ Doc # 126 = 0.070026
 ------ Doc # 612 = 0.069782
 ------ Doc # 159 = 0.069673
 ------ Doc # 150 = 0.069522
 ------ Doc # 1143 = 0.069486
 ------ Doc # 1052 = 0.069464
 ------ Doc # 951 = 0.069213
 ------ Doc # 876 = 0.069131
 ------ Doc # 201 = 0.069104
 ------ Doc # 628 = 0.069064
 ------ Doc # 572 = 0.069055
 ------ Doc # 321 = 0.069052
 ------ Doc # 745 = 0.069047
 ------ Doc # 223 = 0.068980
 ------ Doc # 848 = 0.068953
 ------ Doc # 1109 = 0.068832
 ------ Doc # 402 = 0.068701
 ------ Doc # 350 = 0.068472
 ------ Doc # 594 = 0.068432
 ------ Doc # 760 = 0.068360
 ------ Doc # 1043 = 0.068315
 ------ Doc # 46 = 0.068236
 ------ Doc # 993 = 0.068194
 ------ Doc # 313 = 0.067926
 ------ Doc # 336 = 0.067913
 ------ Doc # 424 = 0.067903
 ------ Doc # 1117 = 0.067841
 ------ Doc # 334 = 0.067833
 ------ Doc # 271 = 0.067793
 ------ Doc # 622 = 0.067743
 ------ Doc # 562 = 0.067703
 ------ Doc # 1222 = 0.067699
 ------ Doc # 730 = 0.067681
 ------ Doc # 425 = 0.067634
 ------ Doc # 248 = 0.067593
 ------ Doc # 513 = 0.067587
 ------ Doc # 283 = 0.067574
 ------ Doc # 653 = 0.067483
 ------ Doc # 1142 = 0.067476
 ------ Doc # 655 = 0.067426
 ------ Doc # 12 = 0.067338
 ------ Doc # 447 = 0.067312
 ------ Doc # 1103 = 0.066703
 ------ Doc # 254 = 0.066582
 ------ Doc # 717 = 0.066520
 ------ Doc # 434 = 0.066454
 ------ Doc # 958 = 0.066394
 ------ Doc # 818 = 0.066391
 ------ Doc # 446 = 0.066336
 ------ Doc # 372 = 0.066250
 ------ Doc # 404 = 0.066197
 ------ Doc # 861 = 0.066098
 ------ Doc # 1121 = 0.066097
 ------ Doc # 369 = 0.066042
 ------ Doc # 521 = 0.065959
 ------ Doc # 1181 = 0.065958
 ------ Doc # 753 = 0.065916
 ------ Doc # 507 = 0.065886
 ------ Doc # 1164 = 0.065855
 ------ Doc # 6 = 0.065787
 ------ Doc # 944 = 0.065712
 ------ Doc # 821 = 0.065585
 ------ Doc # 793 = 0.065522
 ------ Doc # 970 = 0.065422
 ------ Doc # 62 = 0.065389
 ------ Doc # 582 = 0.065371
 ------ Doc # 316 = 0.065157
 ------ Doc # 1033 = 0.065124
 ------ Doc # 530 = 0.065089
 ------ Doc # 1084 = 0.065011
 ------ Doc # 56 = 0.064983
 ------ Doc # 963 = 0.064919
 ------ Doc # 187 = 0.064865
 ------ Doc # 835 = 0.064854
 ------ Doc # 565 = 0.064669
 ------ Doc # 1213 = 0.064608
 ------ Doc # 1183 = 0.064606
 ------ Doc # 921 = 0.064592
 ------ Doc # 504 = 0.064571
 ------ Doc # 627 = 0.064552
 ------ Doc # 651 = 0.064551
 ------ Doc # 1030 = 0.064475
 ------ Doc # 1041 = 0.064295
 ------ Doc # 740 = 0.064287
 ------ Doc # 1232 = 0.064264
 ------ Doc # 1221 = 0.064223
 ------ Doc # 13 = 0.064183
 ------ Doc # 1162 = 0.064171
 ------ Doc # 495 = 0.064123
 ------ Doc # 59 = 0.064088
 ------ Doc # 855 = 0.064085
 ------ Doc # 869 = 0.063731
 ------ Doc # 1076 = 0.063510
 ------ Doc # 79 = 0.063470
 ------ Doc # 645 = 0.063336
 ------ Doc # 129 = 0.063272
 ------ Doc # 31 = 0.063233
 ------ Doc # 61 = 0.063150
 ------ Doc # 436 = 0.063118
 ------ Doc # 442 = 0.063098
 ------ Doc # 879 = 0.063048
 ------ Doc # 614 = 0.062844
 ------ Doc # 166 = 0.062837
 ------ Doc # 571 = 0.062786
 ------ Doc # 241 = 0.062582
 ------ Doc # 112 = 0.062507
 ------ Doc # 955 = 0.062473
 ------ Doc # 1019 = 0.062413
 ------ Doc # 470 = 0.062312
 ------ Doc # 1014 = 0.062290
 ------ Doc # 83 = 0.062289
 ------ Doc # 831 = 0.062004
 ------ Doc # 574 = 0.061989
 ------ Doc # 15 = 0.061927
 ------ Doc # 418 = 0.061853
 ------ Doc # 382 = 0.061744
 ------ Doc # 72 = 0.061728
 ------ Doc # 303 = 0.061690
 ------ Doc # 625 = 0.061643
 ------ Doc # 480 = 0.061577
 ------ Doc # 235 = 0.061560
 ------ Doc # 315 = 0.061323
 ------ Doc # 479 = 0.061247
 ------ Doc # 769 = 0.061099
 ------ Doc # 1236 = 0.061097
 ------ Doc # 686 = 0.061080
 ------ Doc # 177 = 0.061016
 ------ Doc # 737 = 0.061001
 ------ Doc # 881 = 0.060999
 ------ Doc # 137 = 0.060989
 ------ Doc # 1070 = 0.060947
 ------ Doc # 1159 = 0.060912
 ------ Doc # 1071 = 0.060881
 ------ Doc # 898 = 0.060522
 ------ Doc # 1199 = 0.060466
 ------ Doc # 661 = 0.060437
 ------ Doc # 427 = 0.060261
 ------ Doc # 639 = 0.060148
 ------ Doc # 631 = 0.059982
 ------ Doc # 91 = 0.059894
 ------ Doc # 205 = 0.059810
 ------ Doc # 466 = 0.059798
 ------ Doc # 796 = 0.059623
 ------ Doc # 368 = 0.059599
 ------ Doc # 632 = 0.059561
 ------ Doc # 1062 = 0.059499
 ------ Doc # 540 = 0.059462
 ------ Doc # 636 = 0.059445
 ------ Doc # 731 = 0.059439
 ------ Doc # 684 = 0.059431
 ------ Doc # 687 = 0.059368
 ------ Doc # 829 = 0.059330
 ------ Doc # 1040 = 0.059326
 ------ Doc # 473 = 0.059317
 ------ Doc # 217 = 0.059308
 ------ Doc # 878 = 0.059270
 ------ Doc # 212 = 0.059117
 ------ Doc # 1218 = 0.059107
 ------ Doc # 1042 = 0.059106
 ------ Doc # 696 = 0.058956
 ------ Doc # 84 = 0.058896
 ------ Doc # 755 = 0.058848
 ------ Doc # 226 = 0.058845
 ------ Doc # 1237 = 0.058821
 ------ Doc # 450 = 0.058570
 ------ Doc # 349 = 0.058407
 ------ Doc # 528 = 0.058358
 ------ Doc # 516 = 0.058229
 ------ Doc # 897 = 0.058140
 ------ Doc # 209 = 0.058108
 ------ Doc # 148 = 0.057865
 ------ Doc # 615 = 0.057862
 ------ Doc # 292 = 0.057836
 ------ Doc # 1123 = 0.057744
 ------ Doc # 119 = 0.057723
 ------ Doc # 242 = 0.057668
 ------ Doc # 197 = 0.057547
 ------ Doc # 361 = 0.057425
 ------ Doc # 727 = 0.057369
 ------ Doc # 976 = 0.057361
 ------ Doc # 220 = 0.057302
 ------ Doc # 1160 = 0.057262
 ------ Doc # 64 = 0.057166
 ------ Doc # 1086 = 0.057096
 ------ Doc # 233 = 0.057077
 ------ Doc # 1090 = 0.057023
 ------ Doc # 1081 = 0.056989
 ------ Doc # 945 = 0.056969
 ------ Doc # 919 = 0.056908
 ------ Doc # 946 = 0.056792
 ------ Doc # 715 = 0.056746
 ------ Doc # 1224 = 0.056742
 ------ Doc # 491 = 0.056660
 ------ Doc # 1130 = 0.056642
 ------ Doc # 716 = 0.056567
 ------ Doc # 206 = 0.056514
 ------ Doc # 1157 = 0.056459
 ------ Doc # 272 = 0.056424
 ------ Doc # 1192 = 0.056406
 ------ Doc # 978 = 0.056402
 ------ Doc # 362 = 0.056322
 ------ Doc # 44 = 0.056318
 ------ Doc # 98 = 0.056251
 ------ Doc # 1000 = 0.056225
 ------ Doc # 34 = 0.056090
 ------ Doc # 1226 = 0.056020
 ------ Doc # 489 = 0.056017
 ------ Doc # 1004 = 0.055936
 ------ Doc # 517 = 0.055929
 ------ Doc # 380 = 0.055867
 ------ Doc # 323 = 0.055807
 ------ Doc # 81 = 0.055729
 ------ Doc # 145 = 0.055665
 ------ Doc # 634 = 0.055659
 ------ Doc # 870 = 0.055542
 ------ Doc # 710 = 0.055457
 ------ Doc # 1110 = 0.055449
 ------ Doc # 1050 = 0.055287
 ------ Doc # 888 = 0.055129
 ------ Doc # 202 = 0.055113
 ------ Doc # 221 = 0.055001
 ------ Doc # 395 = 0.054980
 ------ Doc # 1024 = 0.054900
 ------ Doc # 924 = 0.054668
 ------ Doc # 688 = 0.054613
 ------ Doc # 886 = 0.054595
 ------ Doc # 548 = 0.054397
 ------ Doc # 697 = 0.054392
 ------ Doc # 777 = 0.054379
 ------ Doc # 92 = 0.054246
 ------ Doc # 164 = 0.054179
 ------ Doc # 475 = 0.054080
 ------ Doc # 933 = 0.054031
 ------ Doc # 576 = 0.054002
 ------ Doc # 295 = 0.053816
 ------ Doc # 545 = 0.053803
 ------ Doc # 341 = 0.053761
 ------ Doc # 1138 = 0.053645
 ------ Doc # 1210 = 0.053606
 ------ Doc # 1022 = 0.053496
 ------ Doc # 412 = 0.053436
 ------ Doc # 237 = 0.053382
 ------ Doc # 525 = 0.053246
 ------ Doc # 739 = 0.053228
 ------ Doc # 904 = 0.053177
 ------ Doc # 644 = 0.053111
 ------ Doc # 752 = 0.053052
 ------ Doc # 887 = 0.052976
 ------ Doc # 616 = 0.052942
 ------ Doc # 539 = 0.052911
 ------ Doc # 744 = 0.052880
 ------ Doc # 608 = 0.052829
 ------ Doc # 33 = 0.052775
 ------ Doc # 1133 = 0.052733
 ------ Doc # 691 = 0.052703
 ------ Doc # 472 = 0.052690
 ------ Doc # 913 = 0.052583
 ------ Doc # 47 = 0.052551
 ------ Doc # 704 = 0.052484
 ------ Doc # 806 = 0.052484
 ------ Doc # 630 = 0.052345
 ------ Doc # 667 = 0.052303
 ------ Doc # 623 = 0.052117
 ------ Doc # 984 = 0.052079
 ------ Doc # 203 = 0.052045
 ------ Doc # 183 = 0.051972
 ------ Doc # 251 = 0.051907
 ------ Doc # 41 = 0.051904
 ------ Doc # 1179 = 0.051890
 ------ Doc # 554 = 0.051875
 ------ Doc # 163 = 0.051851
 ------ Doc # 346 = 0.051720
 ------ Doc # 577 = 0.051690
 ------ Doc # 784 = 0.051656
 ------ Doc # 184 = 0.051654
 ------ Doc # 383 = 0.051597
 ------ Doc # 1079 = 0.051560
 ------ Doc # 996 = 0.051512
 ------ Doc # 452 = 0.051376
 ------ Doc # 26 = 0.051189
 ------ Doc # 1065 = 0.051174
 ------ Doc # 920 = 0.051107
 ------ Doc # 514 = 0.050961
 ------ Doc # 1108 = 0.050940
 ------ Doc # 1011 = 0.050935
 ------ Doc # 938 = 0.050817
 ------ Doc # 602 = 0.050743
 ------ Doc # 842 = 0.050728
 ------ Doc # 1239 = 0.050666
 ------ Doc # 837 = 0.050660
 ------ Doc # 725 = 0.050629
 ------ Doc # 865 = 0.050599
 ------ Doc # 862 = 0.050432
 ------ Doc # 698 = 0.050394
 ------ Doc # 1217 = 0.050388
 ------ Doc # 428 = 0.050352
 ------ Doc # 918 = 0.050186
 ------ Doc # 319 = 0.050116
 ------ Doc # 1073 = 0.049962
 ------ Doc # 669 = 0.049958
 ------ Doc # 1099 = 0.049826
 ------ Doc # 1003 = 0.049802
 ------ Doc # 795 = 0.049694
 ------ Doc # 417 = 0.049572
 ------ Doc # 902 = 0.049551
 ------ Doc # 707 = 0.049476
 ------ Doc # 1068 = 0.049414
 ------ Doc # 1074 = 0.049402
 ------ Doc # 88 = 0.049394
 ------ Doc # 934 = 0.049384
 ------ Doc # 379 = 0.049324
 ------ Doc # 438 = 0.049292
 ------ Doc # 1008 = 0.049227
 ------ Doc # 54 = 0.048927
 ------ Doc # 674 = 0.048837
 ------ Doc # 76 = 0.048837
 ------ Doc # 890 = 0.048819
 ------ Doc # 889 = 0.048758
 ------ Doc # 873 = 0.048731
 ------ Doc # 599 = 0.048593
 ------ Doc # 394 = 0.048580
 ------ Doc # 135 = 0.048509
 ------ Doc # 356 = 0.048508
 ------ Doc # 849 = 0.048475
 ------ Doc # 71 = 0.048443
 ------ Doc # 186 = 0.048399
 ------ Doc # 790 = 0.048356
 ------ Doc # 880 = 0.048346
 ------ Doc # 1128 = 0.048333
 ------ Doc # 455 = 0.048294
 ------ Doc # 1124 = 0.048290
 ------ Doc # 1137 = 0.048281
 ------ Doc # 364 = 0.048214
 ------ Doc # 553 = 0.048121
 ------ Doc # 923 = 0.048103
 ------ Doc # 231 = 0.048102
